,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_followers,artist_genres,artist_popularity
0,0.844,0.787,11,-7.044,1,0.132,0.0941,0.000853,0.0841,0.54,110.985,audio_features,7H06sYnrGsMbWzAR377J8s,spotify:track:7H06sYnrGsMbWzAR377J8s,https://api.spotify.com/v1/tracks/7H06sYnrGsMbWzAR377J8s,https://api.spotify.com/v1/audio-analysis/7H06sYnrGsMbWzAR377J8s,116757,4,34318,"['deconstructed club', 'electra', 'escape room', 'fluxwork', 'hyperpop']",39
0,0.743,0.682,1,-8.803,1,0.0567,0.0375,0.147,0.143,0.458,133.994,audio_features,0SfmpgvdH8nm4cfxc5vj1O,spotify:track:0SfmpgvdH8nm4cfxc5vj1O,https://api.spotify.com/v1/tracks/0SfmpgvdH8nm4cfxc5vj1O,https://api.spotify.com/v1/audio-analysis/0SfmpgvdH8nm4cfxc5vj1O,127300,4,92063,"['art pop', 'dance pop', 'electra', 'electropop', 'escape room', 'grimewave', 'hyperpop', 'pop']",60
0,0.674,0.695,8,-7.656,1,0.109,0.195,0.324,0.102,0.336,139.848,audio_features,7BCnH6TnAy4bpO21NcqEHe,spotify:track:7BCnH6TnAy4bpO21NcqEHe,https://api.spotify.com/v1/tracks/7BCnH6TnAy4bpO21NcqEHe,https://api.spotify.com/v1/audio-analysis/7BCnH6TnAy4bpO21NcqEHe,212570,4,14961,"['ukrainian experimental', 'ukrainian pop', 'ukrainian rock']",39
0,0.674,0.823,0,-8.654,1,0.202,0.0199,1.25e-05,0.666,0.673,94.118,audio_features,7pNKOYIQBPuJOJ779G5GIq,spotify:track:7pNKOYIQBPuJOJ779G5GIq,https://api.spotify.com/v1/tracks/7pNKOYIQBPuJOJ779G5GIq,https://api.spotify.com/v1/audio-analysis/7pNKOYIQBPuJOJ779G5GIq,140742,4,202293,"['ai', 'art pop', 'dance pop', 'deconstructed club', 'electropop', 'escape room', 'experimental pop', 'fluxwork']",56
0,0.726,0.901,7,-5.157,1,0.374,0.254,0.583,0.0482,0.627,180.098,audio_features,1QbYfrExj8QqGfQky3FYfr,spotify:track:1QbYfrExj8QqGfQky3FYfr,https://api.spotify.com/v1/tracks/1QbYfrExj8QqGfQky3FYfr,https://api.spotify.com/v1/audio-analysis/1QbYfrExj8QqGfQky3FYfr,105333,4,360,[],23
0,0.483,0.905,7,-4.374,0,0.0417,0.0104,0.299,0.288,0.118,92.992,audio_features,3sqmHaUVKizwwoKsHMVc1U,spotify:track:3sqmHaUVKizwwoKsHMVc1U,https://api.spotify.com/v1/tracks/3sqmHaUVKizwwoKsHMVc1U,https://api.spotify.com/v1/audio-analysis/3sqmHaUVKizwwoKsHMVc1U,270983,4,1431734,"['art pop', 'canadian electropop', 'chillwave', 'dance pop', 'electropop', 'escape room', 'grave wave', 'hyperpop', 'indietronica', 'metropopolis', 'pop']",72
0,0.425,0.548,4,-9.819,1,0.0439,0.227,0.818,0.108,0.112,92.635,audio_features,31F5fC1a6AGmzh7bZj7QwS,spotify:track:31F5fC1a6AGmzh7bZj7QwS,https://api.spotify.com/v1/tracks/31F5fC1a6AGmzh7bZj7QwS,https://api.spotify.com/v1/audio-analysis/31F5fC1a6AGmzh7bZj7QwS,489429,4,410,['indonesian experimental'],15
0,0.568,0.815,2,-5.798,1,0.0528,0.00555,0.0212,0.354,0.134,102.023,audio_features,0rCbNEFbEJPWffx6BmRH9Z,spotify:track:0rCbNEFbEJPWffx6BmRH9Z,https://api.spotify.com/v1/tracks/0rCbNEFbEJPWffx6BmRH9Z,https://api.spotify.com/v1/audio-analysis/0rCbNEFbEJPWffx6BmRH9Z,254500,4,35104,"['deconstructed club', 'escape room', 'finnish electronic', 'fluxwork', 'grimewave']",35
0,0.783,0.537,6,-5.715,0,0.0672,0.0113,0.473,0.126,0.193,109.972,audio_features,26nkRghL4ROI2GdxjJ2ZQG,spotify:track:26nkRghL4ROI2GdxjJ2ZQG,https://api.spotify.com/v1/tracks/26nkRghL4ROI2GdxjJ2ZQG,https://api.spotify.com/v1/audio-analysis/26nkRghL4ROI2GdxjJ2ZQG,176182,4,11930,"['escape room', 'hyperpop']",42
0,0.424,0.751,1,-11.647,1,0.0564,0.589,0.9,0.569,0.0786,116.664,audio_features,36IJNDHIljR94apizT5Iks,spotify:track:36IJNDHIljR94apizT5Iks,https://api.spotify.com/v1/tracks/36IJNDHIljR94apizT5Iks,https://api.spotify.com/v1/audio-analysis/36IJNDHIljR94apizT5Iks,423173,4,728249,"['art pop', 'electronica', 'glitch pop', 'indie rock', 'oxford indie']",64
0,0.576,0.671,2,-9.821,1,0.029,0.00141,0.884,0.0402,0.0705,128.007,audio_features,6vloZ2bNS9EnmOBTu3xksl,spotify:track:6vloZ2bNS9EnmOBTu3xksl,https://api.spotify.com/v1/tracks/6vloZ2bNS9EnmOBTu3xksl,https://api.spotify.com/v1/audio-analysis/6vloZ2bNS9EnmOBTu3xksl,585901,4,58392,"['cyberpunk', 'dreampunk', 'hardvapour', 'slushwave', 'vaporwave']",45
0,0.613,0.748,1,-6.964,1,0.323,0.0117,0.000528,0.096,0.5,136.822,audio_features,2aKrS1piFqGk1ZLs3DXTTw,spotify:track:2aKrS1piFqGk1ZLs3DXTTw,https://api.spotify.com/v1/tracks/2aKrS1piFqGk1ZLs3DXTTw,https://api.spotify.com/v1/audio-analysis/2aKrS1piFqGk1ZLs3DXTTw,171028,4,169742,"['art pop', 'electropop', 'escape room', 'hyperpop']",56
0,0.937,0.706,9,-9.951,1,0.371,0.0137,0.488,0.0407,0.84,119.966,audio_features,5kmgBZhT1uXEljgE0EJahO,spotify:track:5kmgBZhT1uXEljgE0EJahO,https://api.spotify.com/v1/tracks/5kmgBZhT1uXEljgE0EJahO,https://api.spotify.com/v1/audio-analysis/5kmgBZhT1uXEljgE0EJahO,123571,4,41674,"['art pop', 'escape room', 'hyperpop']",45
0,0.823,0.381,1,-7.372,1,0.0889,0.000497,0.000542,0.14,0.46,107.996,audio_features,30lIB7UwSLy5qgkfYZEtB1,spotify:track:30lIB7UwSLy5qgkfYZEtB1,https://api.spotify.com/v1/tracks/30lIB7UwSLy5qgkfYZEtB1,https://api.spotify.com/v1/audio-analysis/30lIB7UwSLy5qgkfYZEtB1,194438,4,287199,"['art pop', 'dance pop', 'deconstructed club', 'electropop', 'escape room', 'hyperpop', 'pop', 'transpop']",58
0,0.721,0.759,11,-7.9,0,0.208,0.0125,0.67,0.061,0.369,160.025,audio_features,5QaHynEux80dsEFkadZg6m,spotify:track:5QaHynEux80dsEFkadZg6m,https://api.spotify.com/v1/tracks/5QaHynEux80dsEFkadZg6m,https://api.spotify.com/v1/audio-analysis/5QaHynEux80dsEFkadZg6m,246000,4,7348,['hyperpop'],37
0,0.716,0.552,0,-6.927,0,0.0863,0.202,0.0,0.0942,0.181,103.002,audio_features,59rdoga3q8OVCR5WnSGVM8,spotify:track:59rdoga3q8OVCR5WnSGVM8,https://api.spotify.com/v1/tracks/59rdoga3q8OVCR5WnSGVM8,https://api.spotify.com/v1/audio-analysis/59rdoga3q8OVCR5WnSGVM8,248977,4,64151,"['art pop', 'chamber psych', 'east anglia indie', 'escape room']",40
0,0.645,0.666,4,-8.193,0,0.0959,0.266,0.0083,0.14,0.414,160.081,audio_features,6ZYpN36EqS66zI5M2Uw812,spotify:track:6ZYpN36EqS66zI5M2Uw812,https://api.spotify.com/v1/tracks/6ZYpN36EqS66zI5M2Uw812,https://api.spotify.com/v1/audio-analysis/6ZYpN36EqS66zI5M2Uw812,199495,4,35104,"['deconstructed club', 'escape room', 'finnish electronic', 'fluxwork', 'grimewave']",35
0,0.714,0.616,7,-9.818,0,0.039,0.719,0.299,0.0926,0.346,118.998,audio_features,2cTLouneODFXlosSyN3sxK,spotify:track:2cTLouneODFXlosSyN3sxK,https://api.spotify.com/v1/tracks/2cTLouneODFXlosSyN3sxK,https://api.spotify.com/v1/audio-analysis/2cTLouneODFXlosSyN3sxK,320525,4,43064,"['art pop', 'chamber psych', 'freak folk', 'indie folk', 'indie rock', 'modern folk rock']",53
0,0.677,0.826,9,-6.8,1,0.368,0.395,0.0,0.571,0.498,124.821,audio_features,0kiuMdZ9G8X9Odc8oifwX9,spotify:track:0kiuMdZ9G8X9Odc8oifwX9,https://api.spotify.com/v1/tracks/0kiuMdZ9G8X9Odc8oifwX9,https://api.spotify.com/v1/audio-analysis/0kiuMdZ9G8X9Odc8oifwX9,183880,4,703988,"['art pop', 'electropop', 'etherpop', 'freak folk', 'indie pop', 'indie rock', 'metropopolis']",69
0,0.443,0.603,0,-9.522,1,0.0699,0.775,0.764,0.0648,0.322,69.821,audio_features,3gTohtPsDFQ3o5BPfWpS6C,spotify:track:3gTohtPsDFQ3o5BPfWpS6C,https://api.spotify.com/v1/tracks/3gTohtPsDFQ3o5BPfWpS6C,https://api.spotify.com/v1/audio-analysis/3gTohtPsDFQ3o5BPfWpS6C,308125,4,190387,"['downtempo', 'electronica']",58
0,0.701,0.544,5,-10.351,0,0.0778,0.0133,0.000361,0.0785,0.728,119.967,audio_features,4ufErBvRiHTVaKHWBD332f,spotify:track:4ufErBvRiHTVaKHWBD332f,https://api.spotify.com/v1/tracks/4ufErBvRiHTVaKHWBD332f,https://api.spotify.com/v1/audio-analysis/4ufErBvRiHTVaKHWBD332f,146918,4,47537,['indie cafe pop'],52
0,0.611,0.192,5,-13.621,1,0.0457,0.913,0.135,0.0978,0.484,83.97,audio_features,02QHIIsl9LmAF0eiOh0uqg,spotify:track:02QHIIsl9LmAF0eiOh0uqg,https://api.spotify.com/v1/tracks/02QHIIsl9LmAF0eiOh0uqg,https://api.spotify.com/v1/audio-analysis/02QHIIsl9LmAF0eiOh0uqg,218705,1,4488,[],40
0,0.421,0.592,0,-10.379,1,0.114,0.748,3.03e-05,0.129,0.577,80.584,audio_features,2xRQajDL4GEZzyyNl8cxn8,spotify:track:2xRQajDL4GEZzyyNl8cxn8,https://api.spotify.com/v1/tracks/2xRQajDL4GEZzyyNl8cxn8,https://api.spotify.com/v1/audio-analysis/2xRQajDL4GEZzyyNl8cxn8,163902,4,295097,"['french indie pop', 'french indietronica', 'french psychedelic', 'french rock']",61
0,0.456,0.832,0,-7.053,1,0.0351,0.00591,0.821,0.11,0.796,163.048,audio_features,5hhYYTvx7PkLMCABivfYVS,spotify:track:5hhYYTvx7PkLMCABivfYVS,https://api.spotify.com/v1/tracks/5hhYYTvx7PkLMCABivfYVS,https://api.spotify.com/v1/audio-analysis/5hhYYTvx7PkLMCABivfYVS,147005,4,1160,['louisville indie'],24
